Year,Destination,Trips_Thousand,YoY_Change_Thousand,YoY_Change_Pct
2010,France,635.0,,
2010,France,5952.0,5317.0,837.3228346456693
2010,France,9.4,-5942.6,-99.84206989247312
2010,France,500.6,491.20000000000005,5225.531914893618
2011,France,496.0,-4.600000000000023,-0.9188973232121533
2011,France,4455.0,3959.0,798.1854838709678
2011,France,9.0,-4446.0,-99.79797979797979
2011,France,374.0,365.0,4055.5555555555557
2012,France,630.0,256.0,68.44919786096257
2012,France,5825.0,5195.0,824.6031746031745
2012,France,9.2,-5815.8,-99.84206008583692
2012,France,495.6,486.40000000000003,5286.956521739131
2013,France,538.0,42.39999999999998,8.555286521388217
2013,France,5176.0,4638.0,862.0817843866171
2013,France,9.6,-5166.4,-99.8145285935085
2013,France,433.2,423.59999999999997,4412.5
2014,France,586.0,152.8,35.27239150507848
2014,France,5129.0,4543.0,775.2559726962457
2014,France,8.7,-5120.3,-99.8303762916748
2014,France,473.3,464.6,5340.229885057472
2015,France,632.0,158.7,33.530530319036544
2015,France,5565.0,4933.0,780.5379746835443
2015,France,8.8,-5556.2,-99.84186882300091
2015,France,486.0,477.2,5422.727272727272
2016,France,610.0,124.0,25.514403292181065
2016,France,5345.0,4735.0,776.2295081967213
2016,France,8.8,-5336.2,-99.8353601496726
2016,France,449.6,440.8,5009.090909090909
2017,France,550.0,100.39999999999998,22.330960854092517
2017,France,5208.0,4658.0,846.9090909090909
2017,France,9.5,-5198.5,-99.81758832565284
2017,France,476.8,467.3,4918.9473684210525
2018,France,651.0,174.2,36.53523489932886
2018,France,5041.0,4390.0,674.347158218126
2018,France,7.7,-5033.3,-99.84725252926006
2018,France,485.8,478.1,6209.090909090909
2019,France,610.0,124.19999999999999,25.566076574722096
2019,France,5224.0,4614.0,756.3934426229508
2019,France,8.6,-5215.4,-99.83537519142419
2019,France,524.4,515.8,5997.674418604651
2021,France,149.0,-375.4,-71.58657513348588
2021,France,1072.0,923.0,619.4630872483222
2021,France,7.2,-1064.8,-99.32835820895522
2021,France,109.0,101.8,1413.888888888889
2022,France,598.0,489.0,448.6238532110092
2022,France,5640.0,5042.0,843.14381270903
2022,France,9.4,-5630.6,-99.83333333333333
2022,France,568.0,558.6,5942.553191489362
2023,France,1022.0,454.0,79.92957746478872
2023,France,6415.0,5393.0,527.6908023483367
2023,France,6.3,-6408.7,-99.90179267342167
2023,France,1279.0,1272.7,20201.5873015873
2024,France,926.0,-353.0,-27.599687255668492
2024,France,6503.0,5577.0,602.267818574514
2024,France,7.0,-6496.0,-99.89235737351991
2024,France,750.0,743.0,10614.285714285714
2010,Great Britain,1960.0,,
2010,Great Britain,9456.0,7496.0,382.44897959183675
2010,Great Britain,4.8,-9451.2,-99.9492385786802
2010,Great Britain,876.9,872.1,18168.75
2011,Great Britain,1934.0,1057.1,120.54966358763828
2011,Great Britain,9531.0,7597.0,392.81282316442605
2011,Great Britain,4.9,-9526.1,-99.94858881544434
2011,Great Britain,907.6,902.7,18422.448979591834
2012,Great Britain,1784.0,876.4,96.56236227412958
2012,Great Britain,7991.0,6207.0,347.92600896860984
2012,Great Britain,4.5,-7986.5,-99.94368664747842
2012,Great Britain,789.0,784.5,17433.333333333336
2013,Great Britain,2011.0,1222.0,154.87959442332064
2013,Great Britain,8528.0,6517.0,324.06762804574834
2013,Great Britain,4.2,-8523.8,-99.95075046904314
2013,Great Britain,864.9,860.6999999999999,20492.85714285714
2014,Great Britain,1965.0,1100.1,127.19389524800557
2014,Great Britain,8675.0,6710.0,341.4758269720102
2014,Great Britain,4.4,-8670.6,-99.9492795389049
2014,Great Britain,897.2,892.8000000000001,20290.909090909092
2015,Great Britain,1933.0,1035.8,115.44806063308069
2015,Great Britain,7975.0,6042.0,312.5711329539576
2015,Great Britain,4.1,-7970.9,-99.9485893416928
2015,Great Britain,946.5,942.4,22985.36585365854
2016,Great Britain,2009.0,1062.5,112.25567881669308
2016,Great Britain,8038.0,6029.0,300.09955201592834
2016,Great Britain,4.0,-8034.0,-99.95023637720826
2016,Great Britain,913.2,909.2,22730.0
2017,Great Britain,2114.0,1200.8,131.49364870784055
2017,Great Britain,8026.0,5912.0,279.6594134342479
2017,Great Britain,3.8,-8022.2,-99.95265387490655
2017,Great Britain,929.6,925.8000000000001,24363.157894736843
2018,Great Britain,2137.0,1207.4,129.88382099827885
2018,Great Britain,7601.0,5464.0,255.68554047730464
2018,Great Britain,3.6,-7597.4,-99.95263781081437
2018,Great Britain,989.0,985.4,27372.222222222223
2019,Great Britain,2304.0,1315.0,132.96258847320524
2019,Great Britain,8782.0,6478.0,281.16319444444446
2019,Great Britain,3.8,-8778.2,-99.95672967433387
2019,Great Britain,1040.8,1037.0,27289.473684210527
2021,Great Britain,535.0,-505.79999999999995,-48.59723289777095
2021,Great Britain,3261.0,2726.0,509.5327102803738
2021,Great Britain,6.1,-3254.9,-99.8129408157007
2021,Great Britain,353.0,346.9,5686.88524590164
2022,Great Britain,1653.0,1300.0,368.2719546742209
2022,Great Britain,6014.0,4361.0,263.82335148215367
2022,Great Britain,3.6,-6010.4,-99.94013967409379
2022,Great Britain,876.0,872.4,24233.333333333332
2023,Great Britain,3099.0,2223.0,253.7671232876712
2023,Great Britain,10147.0,7048.0,227.42820264601485
2023,Great Britain,3.3,-10143.7,-99.96747807233665
2023,Great Britain,1482.0,1478.7,44809.09090909091
2024,Great Britain,3112.0,1630.0,109.98650472334681
2024,Great Britain,10594.0,7482.0,240.4241645244216
2024,Great Britain,3.4,-10590.6,-99.96790636209175
2024,Great Britain,1705.0,1701.6,50047.05882352941
2010,Other Europe (22),818.0,,
2010,Other Europe (22),6428.0,5610.0,685.8190709046455
2010,Other Europe (22),7.9,-6420.1,-99.87710018668326
2010,Other Europe (22),632.8,624.9,7910.12658227848
2011,Other Europe (22),781.0,148.20000000000005,23.419721871049305
2011,Other Europe (22),5983.0,5202.0,666.0691421254802
2011,Other Europe (22),7.7,-5975.3,-99.87130202239679
2011,Other Europe (22),647.8,640.0999999999999,8312.987012987012
2012,Other Europe (22),772.0,124.20000000000005,19.172584130904614
2012,Other Europe (22),5628.0,4856.0,629.0155440414508
2012,Other Europe (22),7.3,-5620.7,-99.87029140014214
2012,Other Europe (22),545.4,538.1,7371.232876712328
2013,Other Europe (22),724.0,178.60000000000002,32.74660799413276
2013,Other Europe (22),5566.0,4842.0,668.7845303867404
2013,Other Europe (22),7.7,-5558.3,-99.86166007905139
2013,Other Europe (22),568.6,560.9,7284.415584415585
2014,Other Europe (22),781.0,212.39999999999998,37.35490678860358
2014,Other Europe (22),6983.0,6202.0,794.1101152368757
2014,Other Europe (22),8.9,-6974.1,-99.87254761563797
2014,Other Europe (22),704.2,695.3000000000001,7812.359550561799
2015,Other Europe (22),955.0,250.79999999999995,35.61488213575687
2015,Other Europe (22),6346.0,5391.0,564.5026178010471
2015,Other Europe (22),6.6,-6339.4,-99.89599747872676
2015,Other Europe (22),739.4,732.8,11103.030303030304
2016,Other Europe (22),1007.0,267.6,36.191506626994865
2016,Other Europe (22),6408.0,5401.0,536.3455809334657
2016,Other Europe (22),6.4,-6401.6,-99.90012484394506
2016,Other Europe (22),783.9,777.5,12148.437499999998
2017,Other Europe (22),1135.0,351.1,44.788876132159714
2017,Other Europe (22),7128.0,5993.0,528.0176211453744
2017,Other Europe (22),6.3,-7121.7,-99.91161616161615
2017,Other Europe (22),930.7,924.4000000000001,14673.015873015873
2018,Other Europe (22),1238.0,307.29999999999995,33.01815837541635
2018,Other Europe (22),8134.0,6896.0,557.0274636510501
2018,Other Europe (22),6.6,-8127.4,-99.91885910990902
2018,Other Europe (22),991.8,985.1999999999999,14927.272727272728
2019,Other Europe (22),1349.0,357.20000000000005,36.0153256704981
2019,Other Europe (22),9317.0,7968.0,590.6597479614529
2019,Other Europe (22),6.9,-9310.1,-99.92594182676827
2019,Other Europe (22),1132.7,1125.8,16315.942028985506
2021,Other Europe (22),398.0,-734.7,-64.86271740090051
2021,Other Europe (22),4962.0,4564.0,1146.7336683417086
2021,Other Europe (22),12.5,-4949.5,-99.74808544941556
2021,Other Europe (22),631.0,618.5,4948.0
2022,Other Europe (22),1634.0,1003.0,158.9540412044374
2022,Other Europe (22),13577.0,11943.0,730.905752753978
2022,Other Europe (22),8.3,-13568.7,-99.93886720188554
2022,Other Europe (22),1704.0,1695.7,20430.12048192771
2023,Other Europe (22),1991.0,287.0,16.842723004694825
2023,Other Europe (22),13773.0,11782.0,591.7629331993973
2023,Other Europe (22),6.9,-13766.1,-99.94990198213897
2023,Other Europe (22),1989.0,1982.1,28726.086956521736
2024,Other Europe (22),2075.0,86.0,4.3237807943690365
2024,Other Europe (22),12848.0,10773.0,519.1807228915662
2024,Other Europe (22),6.2,-12841.8,-99.95174346201743
2024,Other Europe (22),1823.0,1816.8,29303.22580645161
2010,Other countries (26),224.0,,
2010,Other countries (26),3922.0,3698.0,1650.8928571428573
2010,Other countries (26),17.5,-3904.5,-99.55379908210097
2010,Other countries (26),468.4,450.9,2576.5714285714284
2011,Other countries (26),191.0,-277.4,-59.22288642186165
2011,Other countries (26),4054.0,3863.0,2022.5130890052355
2011,Other countries (26),21.2,-4032.8,-99.47705969412925
2011,Other countries (26),459.5,438.3,2067.452830188679
2012,Other countries (26),216.0,-243.5,-52.9923830250272
2012,Other countries (26),3962.0,3746.0,1734.2592592592591
2012,Other countries (26),18.3,-3943.7,-99.53811206461383
2012,Other countries (26),480.6,462.3,2526.2295081967213
2013,Other countries (26),232.0,-248.60000000000002,-51.72700790678319
2013,Other countries (26),5083.0,4851.0,2090.948275862069
2013,Other countries (26),21.9,-5061.1,-99.56915207554594
2013,Other countries (26),564.4,542.5,2477.1689497716898
2014,Other countries (26),174.0,-390.4,-69.17080085046067
2014,Other countries (26),3168.0,2994.0,1720.689655172414
2014,Other countries (26),18.2,-3149.8,-99.42550505050505
2014,Other countries (26),365.2,347.0,1906.5934065934066
2015,Other countries (26),164.0,-201.2,-55.093099671412915
2015,Other countries (26),3000.0,2836.0,1729.2682926829268
2015,Other countries (26),18.3,-2981.7,-99.39
2015,Other countries (26),383.9,365.59999999999997,1997.8142076502731
2016,Other countries (26),192.0,-191.89999999999998,-49.98697577494139
2016,Other countries (26),3698.0,3506.0,1826.0416666666667
2016,Other countries (26),19.3,-3678.7,-99.47809626825311
2016,Other countries (26),455.0,435.7,2257.5129533678755
2017,Other countries (26),125.0,-330.0,-72.52747252747253
2017,Other countries (26),2210.0,2085.0,1668.0
2017,Other countries (26),17.6,-2192.4,-99.20361990950227
2017,Other countries (26),295.2,277.59999999999997,1577.272727272727
2018,Other countries (26),206.0,-89.19999999999999,-30.216802168021673
2018,Other countries (26),4189.0,3983.0,1933.495145631068
2018,Other countries (26),20.3,-4168.7,-99.51539746956314
2018,Other countries (26),490.7,470.4,2317.2413793103447
2019,Other countries (26),193.0,-297.7,-60.66843285102914
2019,Other countries (26),3422.0,3229.0,1673.0569948186528
2019,Other countries (26),17.8,-3404.2,-99.47983635300993
2019,Other countries (26),395.8,378.0,2123.595505617978
2021,Other countries (26),59.0,-336.8,-85.09348155634159
2021,Other countries (26),1527.0,1468.0,2488.135593220339
2021,Other countries (26),25.9,-1501.1,-98.30386378519974
2021,Other countries (26),53.0,27.1,104.63320463320463
2022,Other countries (26),276.0,223.0,420.75471698113205
2022,Other countries (26),4370.0,4094.0,1483.3333333333335
2022,Other countries (26),15.8,-4354.2,-99.63844393592677
2022,Other countries (26),571.0,555.2,3513.924050632911
2023,Other countries (26),297.0,-274.0,-47.98598949211909
2023,Other countries (26),5025.0,4728.0,1591.9191919191921
2023,Other countries (26),16.9,-5008.1,-99.6636815920398
